ensembl_gene_id,start_position,end_position,strand,hgnc_symbol,chromosome_name,entrezgene_id,ucsc,band,slice_chromosome,slice_bp1,slice_bp2
ENSG00000151240,274190,689668,-1,DIP2C,10,22982.0,uc001ifp.6,p15.3,10,122598339,123215850
ENSG00000151240,274190,689668,-1,DIP2C,10,22982.0,uc284mus.1,p15.3,10,122598339,123215850
ENSG00000151240,274190,689668,-1,DIP2C,10,22982.0,uc057rdu.1,p15.3,10,122598339,123215850
ENSG00000151240,274190,689668,-1,DIP2C,10,22982.0,uc057rdv.2,p15.3,10,122598339,123215850
ENSG00000151240,274190,689668,-1,DIP2C,10,22982.0,uc057rds.1,p15.3,10,122598339,123215850
ENSG00000196139,5035354,5107686,1,AKR1C3,10,8644.0,uc057riv.1,p15.1,10,122598339,123215850
ENSG00000196139,5035354,5107686,1,AKR1C3,10,8644.0,uc057riw.1,p15.1,10,122598339,123215850
ENSG00000196139,5035354,5107686,1,AKR1C3,10,8644.0,uc057rix.1,p15.1,10,122598339,123215850
ENSG00000196139,5035354,5107686,1,AKR1C3,10,8644.0,uc057riy.1,p15.1,10,122598339,123215850
ENSG00000196139,5035354,5107686,1,AKR1C3,10,8644.0,uc021pml.3,p15.1,10,122598339,123215850
ENSG00000196139,5035354,5107686,1,AKR1C3,10,8644.0,uc010qap.3,p15.1,10,122598339,123215850
ENSG00000196139,5035354,5107686,1,AKR1C3,10,8644.0,uc001ihu.5,p15.1,10,122598339,123215850
ENSG00000196139,5035354,5107686,1,AKR1C3,10,8644.0,uc057rja.1,p15.1,10,122598339,123215850
ENSG00000196139,5035354,5107686,1,AKR1C3,10,8644.0,uc057rjb.1,p15.1,10,122598339,123215850
ENSG00000196139,5035354,5107686,1,AKR1C3,10,8644.0,uc057rjc.1,p15.1,10,122598339,123215850
ENSG00000196139,5035354,5107686,1,AKR1C3,10,8644.0,uc057rjd.1,p15.1,10,122598339,123215850
ENSG00000178462,5393101,5404828,-1,TUBAL3,10,79861.0,uc001ihy.4,p15.1,10,122598339,123215850
ENSG00000178462,5393101,5404828,-1,TUBAL3,10,79861.0,uc001ihz.4,p15.1,10,122598339,123215850
ENSG00000185736,1177313,1737525,-1,ADARB2,10,105.0,uc009xhq.5,p15.3,10,122598339,123215850
ENSG00000185736,1177313,1737525,-1,ADARB2,10,105.0,uc001igm.5,p15.3,10,122598339,123215850
ENSG00000185736,1177313,1737525,-1,ADARB2,10,105.0,uc057rff.1,p15.3,10,122598339,123215850
ENSG00000185736,1177313,1737525,-1,ADARB2,10,105.0,uc057rfg.1,p15.3,10,122598339,123215850
ENSG00000185736,1177313,1737525,-1,ADARB2,10,105.0,uc057rfh.1,p15.3,10,122598339,123215850
ENSG00000185736,1177313,1737525,-1,ADARB2,10,105.0,uc057rfi.1,p15.3,10,122598339,123215850
ENSG00000185736,1177313,1737525,-1,ADARB2,10,105.0,uc057rfj.1,p15.3,10,122598339,123215850
ENSG00000232170,8259331,8268342,-1,LINC00708,10,100507143.0,uc057rpm.1,p14,10,122598339,123215850
ENSG00000232170,8259331,8268342,-1,LINC00708,10,100507143.0,uc001ikb.4,p14,10,122598339,123215850
ENSG00000232170,8259331,8268342,-1,LINC00708,10,100507143.0,uc287qfe.1,p14,10,122598339,123215850
ENSG00000224788,10058722,10063502,1,LINC02670,10,101928298.0,uc001ikd.1,p14,10,122598339,123215850
ENSG00000230573,3833950,3834728,1,LINC02639,10,105376365.0,uc057rhn.1,p15.1,10,122598339,123215850
ENSG00000134463,11742366,11764070,1,ECHDC3,10,79746.0,uc001ikw.6,p14,10,122598339,123215850
ENSG00000134463,11742366,11764070,1,ECHDC3,10,79746.0,uc057rrg.1,p14,10,122598339,123215850
ENSG00000134463,11742366,11764070,1,ECHDC3,10,79746.0,uc057rrh.1,p14,10,122598339,123215850
ENSG00000134463,11742366,11764070,1,ECHDC3,10,79746.0,uc057rri.1,p14,10,122598339,123215850
ENSG00000134463,11742366,11764070,1,ECHDC3,10,79746.0,uc057rrj.1,p14,10,122598339,123215850
